State, rank26, STATE, 0.988607, 1.641297, 0.652689, 0.000000, MPI_Gather
State, rank26, STATE, 1.641533, 2.819662, 1.178129, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00561047, 2.81916, 2.81355, rank25
State, rank25, STATE, 0.005612, 0.005612, 0.000000, 0.000000, MPI_Comm_rank
State, rank25, STATE, 0.005613, 0.005614, 0.000001, 0.000000, MPI_Comm_size
State, rank25, STATE, 0.005688, 0.049171, 0.043483, 0.000000, MPI_Scatter
State, rank25, STATE, 0.049172, 0.183828, 0.134656, 0.000000, MPI_Bcast
State, rank25, STATE, 1.623446, 1.623967, 0.000520, 0.000000, MPI_Gather
State, rank25, STATE, 1.624164, 2.819163, 1.194999, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0123315, 2.81886, 2.80653, rank24
State, rank24, STATE, 0.012333, 0.012333, 0.000000, 0.000000, MPI_Comm_rank
State, rank24, STATE, 0.012334, 0.012335, 0.000001, 0.000000, MPI_Comm_size
State, rank24, STATE, 0.012403, 0.048779, 0.036376, 0.000000, MPI_Scatter
State, rank24, STATE, 0.048782, 0.190489, 0.141707, 0.000000, MPI_Bcast
State, rank24, STATE, 1.689442, 1.725151, 0.035709, 0.000000, MPI_Gather
State, rank24, STATE, 1.725319, 2.818863, 1.093545, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0109575, 2.81945, 2.80849, rank23
State, rank23, STATE, 0.010959, 0.010959, 0.000000, 0.000000, MPI_Comm_rank
State, rank23, STATE, 0.010959, 0.010960, 0.000001, 0.000000, MPI_Comm_size
State, rank23, STATE, 0.011011, 0.048252, 0.037241, 0.000000, MPI_Scatter
State, rank23, STATE, 0.048254, 0.193253, 0.144999, 0.000000, MPI_Bcast
State, rank23, STATE, 0.996417, 0.997159, 0.000742, 0.000000, MPI_Gather
State, rank23, STATE, 0.997343, 2.819448, 1.822105, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00724411, 2.82017, 2.81293, rank22
State, rank22, STATE, 0.007245, 0.007246, 0.000000, 0.000000, MPI_Comm_rank
State, rank22, STATE, 0.007246, 0.007246, 0.000001, 0.000000, MPI_Comm_size
State, rank22, STATE, 0.007300, 0.047993, 0.040693, 0.000000, MPI_Scatter
State, rank22, STATE, 0.047994, 0.179572, 0.131578, 0.000000, MPI_Bcast
State, rank22, STATE, 0.986110, 0.998261, 0.012151, 0.000000, MPI_Gather
State, rank22, STATE, 0.998411, 2.820174, 1.821762, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0135236, 2.81885, 2.80532, rank21
State, rank21, STATE, 0.013525, 0.013525, 0.000000, 0.000000, MPI_Comm_rank
State, rank21, STATE, 0.013525, 0.013526, 0.000001, 0.000000, MPI_Comm_size
State, rank21, STATE, 0.013572, 0.047662, 0.034090, 0.000000, MPI_Scatter
State, rank21, STATE, 0.047663, 0.169113, 0.121450, 0.000000, MPI_Bcast
State, rank21, STATE, 0.981677, 0.982291, 0.000614, 0.000000, MPI_Gather
State, rank21, STATE, 0.982584, 2.818847, 1.836263, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00379562, 2.82058, 2.81679, rank20
State, rank20, STATE, 0.003797, 0.003797, 0.000000, 0.000000, MPI_Comm_rank
State, rank20, STATE, 0.003797, 0.003798, 0.000001, 0.000000, MPI_Comm_size
State, rank20, STATE, 0.003842, 0.047564, 0.043722, 0.000000, MPI_Scatter
State, rank20, STATE, 0.047565, 0.193277, 0.145712, 0.000000, MPI_Bcast
State, rank20, STATE, 1.710269, 1.713342, 0.003074, 0.000000, MPI_Gather
State, rank20, STATE, 1.713520, 2.820582, 1.107062, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00167394, 2.81902, 2.81734, rank2
State, rank2, STATE, 0.001675, 0.001675, 0.000000, 0.000000, MPI_Comm_rank
State, rank2, STATE, 0.001676, 0.001676, 0.000001, 0.000000, MPI_Comm_size
State, rank2, STATE, 0.001720, 0.040969, 0.039249, 0.000000, MPI_Scatter
State, rank2, STATE, 0.040970, 0.124055, 0.083085, 0.000000, MPI_Bcast
State, rank2, STATE, 0.929415, 1.378666, 0.449250, 0.000000, MPI_Gather
State, rank2, STATE, 1.378817, 2.819016, 1.440199, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00502014, 2.81963, 2.81461, rank19
State, rank19, STATE, 0.005021, 0.005022, 0.000000, 0.000000, MPI_Comm_rank
State, rank19, STATE, 0.005022, 0.005023, 0.000001, 0.000000, MPI_Comm_size
State, rank19, STATE, 0.005097, 0.047200, 0.042103, 0.000000, MPI_Scatter
State, rank19, STATE, 0.047202, 0.211564, 0.164363, 0.000000, MPI_Bcast
State, rank19, STATE, 1.693749, 1.694430, 0.000681, 0.000000, MPI_Gather
State, rank19, STATE, 1.694607, 2.819632, 1.125024, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.0127161, 2.82159, 2.80887, rank18
State, rank18, STATE, 0.012717, 0.012717, 0.000000, 0.000000, MPI_Comm_rank
State, rank18, STATE, 0.012718, 0.012720, 0.000001, 0.000000, MPI_Comm_size
State, rank18, STATE, 0.012796, 0.046815, 0.034019, 0.000000, MPI_Scatter
State, rank18, STATE, 0.046817, 0.213258, 0.166441, 0.000000, MPI_Bcast
State, rank18, STATE, 1.629482, 1.695516, 0.066034, 0.000000, MPI_Gather
State, rank18, STATE, 1.695673, 2.821586, 1.125913, 0.000000, MPI_Finalize
Container, root, PROCESS, 0.00618649, 2.82027, 2.81408, rank17
State, rank17, STATE, 0.006187, 0.006187, 0.000000, 0.000000, MPI_Comm_rank
